,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
347,Ust-Koksa,RU,50.2696,85.6108,33.75,96,100,2.89,light rain
348,Carauari,BR,-4.8828,-66.8958,84.76,70,100,1.01,overcast clouds
349,Boddam,GB,57.4667,-1.7833,45.39,83,28,13.15,scattered clouds
350,Rio Gallegos,AR,-51.6226,-69.2181,62.65,17,0,14.97,clear sky
351,Esil,KZ,51.9556,66.4042,37.76,96,100,21.97,light rain
352,Luau,AO,-10.7073,22.2247,65.16,87,100,3.22,overcast clouds
353,Asfi,MA,32.2994,-9.2372,65.73,86,9,2.3,clear sky
354,Atar,MR,20.5169,-13.0499,87.15,24,100,1.63,overcast clouds
355,Vuktyl,RU,63.8567,57.3094,11.73,98,68,1.16,broken clouds
356,Misratah,LY,32.3754,15.0925,72.48,63,100,16.96,overcast clouds
357,Bud,US,39.447,-86.1758,56.7,90,100,10.8,overcast clouds
358,Lichinga,MZ,-13.3128,35.2406,69.4,57,4,7.52,clear sky
359,Paita,PE,-5.0892,-81.1144,75.76,72,21,15.9,few clouds
360,Basoko,CD,1.2391,23.616,73.27,89,52,3.2,broken clouds
361,Calama,CL,-22.4667,-68.9333,77.49,9,0,21.85,clear sky
362,Epe,NG,6.5841,3.9834,78.39,88,100,5.19,overcast clouds
363,Narsaq,GL,60.9167,-46.05,27.95,70,89,4.43,overcast clouds
364,Domoni,KM,-12.2569,44.5319,77.05,78,51,4.27,broken clouds
365,Caravelas,BR,-17.7125,-39.2481,75.99,81,98,7.65,overcast clouds
366,Togur,RU,58.3631,82.8265,24.55,70,100,8.32,overcast clouds
367,Mitsamiouli,KM,-11.3847,43.2844,77.83,76,1,8.99,clear sky
368,Madras,IN,13.0878,80.2785,80.58,94,75,0.0,light intensity drizzle
369,Dunn,US,44.95,-91.8835,60.35,63,5,4.61,clear sky
370,Muros,ES,42.7762,-9.0603,64.24,90,100,13.22,overcast clouds
371,Boralday,KZ,43.3578,76.8594,37.26,93,75,4.47,mist
372,Hatfield,GB,51.7634,-0.2242,51.01,90,17,5.75,few clouds
373,Aksarka,RU,66.5606,67.7975,-1.95,93,22,5.99,few clouds
374,Baie-Comeau,CA,49.2168,-68.1489,54.1,61,1,9.22,clear sky
375,Charlestown,AU,-32.95,151.6667,56.82,95,99,1.01,overcast clouds
376,Verkhnyaya Inta,RU,65.9811,60.3094,6.26,96,83,3.83,broken clouds
377,Codrington,AU,-38.2667,141.9667,41.32,95,3,8.1,clear sky
378,Beyneu,KZ,45.3167,55.2,50.36,65,6,3.44,clear sky
379,Korcula,HR,42.9622,17.1369,48.76,55,0,5.99,clear sky
380,Ferme-Neuve,CA,46.7001,-75.4493,47.98,79,100,6.11,overcast clouds
381,Ambo,PE,-10.1308,-76.2047,72.36,59,97,10.27,overcast clouds
382,Melo,UY,-32.3667,-54.1833,76.95,75,68,8.79,broken clouds
383,Conceicao Do Araguaia,BR,-8.2578,-49.2647,90.63,40,49,4.16,light rain
384,Elat,IL,29.5581,34.9482,78.64,53,0,0.0,clear sky
385,Harrisburg,US,40.2737,-76.8844,64.29,80,75,3.0,broken clouds
386,Beisfjord,NO,68.3751,17.5988,42.26,97,100,5.19,light rain
387,Yar-Sale,RU,66.8333,70.8333,11.39,89,100,18.77,overcast clouds
388,Demyanovo,RU,60.3511,47.0842,43.16,95,100,6.6,overcast clouds
389,Teguldet,RU,57.3064,88.1667,26.29,63,100,8.19,overcast clouds
390,Karaton,ID,-6.3424,106.1045,75.36,93,99,1.34,overcast clouds
391,Hit,IQ,33.6416,42.8251,80.49,39,100,13.65,overcast clouds
392,Beloha,MG,-25.1667,45.05,67.95,80,10,12.08,clear sky
393,Yurginskoye,RU,56.8189,67.3921,30.33,96,100,10.13,light snow
394,Koregaon,IN,18.65,74.0833,71.53,61,6,6.55,clear sky
395,Aden,YE,12.7794,45.0367,83.91,71,12,24.76,light rain
396,Mecca,SA,21.4267,39.8261,81.66,59,0,1.07,clear sky
397,Lodja,CD,-3.4833,23.4333,71.92,84,100,2.04,overcast clouds
398,Alappuzha,IN,9.49,76.3264,79.12,86,100,2.06,overcast clouds
399,Vestmanna,FO,62.1564,-7.1664,45.52,87,90,11.5,overcast clouds
400,Boende,CD,-0.2167,20.8667,74.3,83,78,2.17,broken clouds
401,Poletayevo,RU,55.0336,61.1138,40.82,94,100,14.63,overcast clouds
402,Trofors,NO,65.5333,13.4063,49.35,91,85,5.14,overcast clouds
403,Bosilovo,MK,41.4406,22.7278,50.11,77,0,3.44,clear sky
404,Gidole,ET,5.65,37.3667,60.08,45,51,3.13,broken clouds
405,Chivay,PE,-15.6383,-71.6011,53.44,60,100,10.29,overcast clouds
406,Dakoro,NE,14.5106,6.765,88.03,12,2,8.52,clear sky
407,Sidi Ali,DZ,36.0998,0.4206,66.0,66,93,6.64,overcast clouds
408,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,88.54,48,86,5.17,overcast clouds
409,Camacha,PT,33.0833,-16.3333,69.22,88,40,9.22,scattered clouds
410,Ponazyrevo,RU,58.3578,46.3142,42.85,98,100,5.03,overcast clouds
411,Bolotnoye,RU,55.6717,84.3981,25.83,62,100,9.26,overcast clouds
412,Praia Da Vitoria,PT,38.7333,-27.0667,73.65,88,40,12.08,scattered clouds
413,Araouane,ML,18.9048,-3.5265,89.46,19,97,10.27,overcast clouds
414,Aksu,CN,41.1231,80.2644,44.78,52,4,0.36,clear sky
415,Zambezi,ZM,-13.5432,23.1047,74.8,59,97,2.98,overcast clouds
416,Khvorostyanka,RU,52.6096,48.9597,42.42,94,3,8.93,clear sky
417,Kargasok,RU,59.0556,80.8572,23.9,73,100,7.72,overcast clouds
418,Namibe,AO,-15.1961,12.1522,68.25,73,84,8.01,broken clouds
419,Marsa Matruh,EG,31.3525,27.2453,70.0,83,40,5.75,scattered clouds
420,Ramanuj Ganj,IN,23.8,83.7,60.6,64,86,3.11,overcast clouds
421,Betioky,MG,-23.7167,44.3833,70.36,55,100,0.63,overcast clouds
422,Micheweni,TZ,-4.9667,39.8333,77.79,80,19,8.57,few clouds
423,Marathon,US,44.9,-89.7668,60.19,69,1,1.01,clear sky
424,Sinnamary,GF,5.3833,-52.95,82.56,72,21,6.76,few clouds
425,Tornio,FI,65.8481,24.1466,42.82,97,100,13.38,light rain
426,Pontes E Lacerda,BR,-15.2261,-59.3353,88.88,51,46,4.38,scattered clouds
427,El Alto,PE,-4.2714,-81.2147,73.06,70,24,14.88,few clouds
428,Zamosc,PL,50.7231,23.252,51.64,70,30,9.33,scattered clouds
429,Gamba,GA,-2.65,10.0,76.6,91,100,6.93,moderate rain
430,Skjervoy,NO,70.0311,20.9714,41.11,69,100,10.78,overcast clouds
431,Cascavel,BR,-24.9558,-53.4553,71.94,80,100,3.11,light rain
432,Mount Vernon,US,40.9126,-73.8371,64.76,79,79,7.0,broken clouds
433,Imbituba,BR,-28.24,-48.6703,67.89,95,100,12.24,overcast clouds
434,Douglas,US,41.3,-96.167,70.14,42,1,5.01,clear sky
435,Reims,FR,49.1667,4.0833,57.94,88,90,9.22,overcast clouds
436,Kadnikov,RU,59.5022,40.338,42.19,92,90,4.9,overcast clouds
437,Cape Girardeau,US,37.3834,-89.7168,60.28,64,78,14.32,broken clouds
438,Raudeberg,NO,61.9875,5.1352,52.47,64,100,3.0,overcast clouds
439,Obo,CF,5.3998,26.4869,69.48,95,93,0.43,light rain
440,Santa Rosa,PH,14.3122,121.1114,79.11,78,59,12.62,broken clouds
441,Vagur,FO,61.4732,-6.8119,47.52,91,99,4.54,overcast clouds
442,Kangaba,ML,11.9333,-8.4167,79.59,63,100,2.37,overcast clouds
443,Mangan,IN,27.5167,88.5333,61.32,59,59,4.07,broken clouds
444,Krasnoborsk,RU,61.5598,45.934,41.86,97,100,6.87,overcast clouds
445,Ardatov,RU,55.2421,43.097,46.24,94,45,9.86,scattered clouds
446,Gornopravdinsk,RU,60.05,69.9,22.26,98,100,2.68,overcast clouds
447,Mehran,IR,33.1222,46.1646,78.28,27,92,8.66,overcast clouds
448,Tibati,CM,6.4667,12.6333,70.61,82,71,2.1,light rain
449,Mkuranga,TZ,-7.118,39.2078,77.99,92,27,3.56,scattered clouds
450,Lakhdenpokhya,RU,61.5198,30.1992,40.82,94,55,5.86,broken clouds
451,Mahon,ES,39.8885,4.2658,70.36,88,75,10.36,broken clouds
452,Filadelfia,US,39.9523,-75.1638,66.97,64,75,4.0,broken clouds
453,Omboue,GA,-1.5746,9.2618,77.27,90,100,6.91,moderate rain
454,Starychi,UA,49.98,23.5585,48.69,67,7,8.86,clear sky
455,Arica,CL,-18.475,-70.3042,74.75,68,0,11.5,clear sky
456,Jizan,SA,17.3333,42.6667,86.94,56,4,2.95,clear sky
457,Eyl,SO,7.9803,49.8164,78.31,78,67,11.36,broken clouds
458,Gat,IL,31.61,34.7642,72.39,62,35,3.4,scattered clouds
459,El Silencio,VE,10.5,-66.9167,73.35,82,100,10.36,overcast clouds
460,Balykshi,KZ,47.0667,51.8667,37.4,93,10,4.47,mist
461,Abu Samrah,SY,35.3029,37.1841,69.64,41,77,6.87,broken clouds
462,Umm Kaddadah,SD,13.6017,26.6876,88.99,21,36,9.51,scattered clouds
463,Cabinda,AO,-5.55,12.2,77.81,86,83,10.02,broken clouds
464,Marechal Candido Rondon,BR,-24.5561,-54.0567,76.77,72,100,4.72,overcast clouds
465,Punta Cardon,VE,11.6581,-70.215,81.75,76,100,18.32,overcast clouds
466,Isernia,IT,41.6002,14.2382,57.54,81,36,1.59,scattered clouds
467,Pavlodar,KZ,52.3,76.95,37.2,81,90,15.66,overcast clouds
468,Lodwar,KE,3.1191,35.5973,86.81,39,82,14.79,broken clouds
469,Concepcion Del Uruguay,AR,-32.4825,-58.2372,92.98,36,16,4.0,few clouds
470,Port-Gentil,GA,-0.7193,8.7815,80.56,83,40,13.8,thunderstorm
471,Neuquen,AR,-38.9516,-68.0591,69.69,28,0,6.91,clear sky
472,Hualmay,PE,-11.0964,-77.6139,68.07,70,86,8.3,overcast clouds
473,General Roca,AR,-39.0333,-67.5833,70.63,19,100,17.69,overcast clouds
474,Gallipoli,TR,40.4103,26.6708,56.41,76,35,13.82,scattered clouds
475,Narasannapeta,IN,18.4167,84.05,76.14,85,23,4.65,few clouds
476,Cusuna,HN,15.85,-85.2333,76.96,83,99,11.52,overcast clouds
477,Villarrubia De Los Ojos,ES,39.2209,-3.608,62.04,95,100,15.97,overcast clouds
478,Panjakent,TJ,39.4952,67.6093,42.6,42,100,1.52,overcast clouds
479,Thompson,CA,55.7435,-97.8558,37.56,75,75,11.5,broken clouds
480,Trinidad,BO,-14.8333,-64.9,96.78,38,40,11.5,scattered clouds
481,Senador Guiomard,BR,-10.1522,-67.7392,92.95,22,13,4.59,few clouds
482,Macas,EC,-2.3167,-78.1167,80.35,57,40,3.44,light rain
483,La Serena,CL,-29.9078,-71.2542,60.31,77,75,13.8,broken clouds
484,Sur,OM,22.5667,59.5289,81.37,53,0,6.58,clear sky
485,Port Blair,IN,11.6667,92.75,80.37,81,98,1.72,overcast clouds
486,Niksic,ME,42.7731,18.9445,48.07,78,0,2.53,clear sky
487,Chalatenango,SV,14.0333,-88.9333,81.95,70,99,2.91,overcast clouds
488,Grudziadz,PL,53.4841,18.7537,54.75,89,12,13.71,few clouds
489,Bandarbeyla,SO,9.4942,50.8122,79.09,77,76,12.35,light rain
490,Mahbubabad,IN,17.6167,80.0167,73.31,91,72,2.19,broken clouds
491,Santiago,CL,-33.4569,-70.6483,90.84,16,0,8.05,clear sky
492,Ubauro,PK,28.1652,69.7289,74.98,16,0,6.13,clear sky
493,Vesyegonsk,RU,58.664,37.2604,43.47,95,61,6.06,broken clouds
494,Quimper,FR,48.0,-4.1,56.61,82,90,5.75,overcast clouds
495,Ferrol,ES,43.4832,-8.2369,64.36,81,34,13.56,scattered clouds
496,Nsanje,MW,-16.92,35.262,75.38,49,0,4.85,clear sky
497,Axim,GH,4.8699,-2.2405,78.8,85,73,8.52,broken clouds
498,Straumen,NO,63.8709,11.2999,50.61,87,45,7.61,scattered clouds
499,Ugoofaaru,MV,5.6667,73.0,81.07,76,24,8.01,few clouds
500,Roald,NO,62.5833,6.1333,52.32,71,0,11.5,clear sky
501,Saraland,US,30.8207,-88.0706,62.31,61,87,9.33,overcast clouds
502,Villanueva De La Serena,ES,38.9766,-5.7974,66.83,86,100,22.48,overcast clouds
503,Siyabuswa,ZA,-25.1132,29.0445,74.26,20,0,13.2,clear sky
504,Glen Allen,US,37.666,-77.5064,64.0,74,99,1.01,overcast clouds
505,Tukrah,LY,32.5341,20.5791,69.37,73,80,17.0,broken clouds
506,Espanola,US,35.9911,-106.0806,79.07,18,5,5.23,clear sky
507,Belyy Yar,RU,53.6039,91.3903,37.29,75,0,15.66,clear sky
508,Waddan,LY,29.1614,16.139,71.83,31,100,6.06,overcast clouds
509,Zhezkazgan,KZ,47.8043,67.7144,42.94,65,100,13.56,overcast clouds
510,Labrea,BR,-7.2586,-64.7981,83.35,67,95,4.85,overcast clouds
511,Praia,CV,14.9215,-23.5087,75.74,88,0,6.91,clear sky
512,Luanda,AO,-8.8368,13.2343,77.0,78,40,8.05,scattered clouds
513,Giaveno,IT,45.047,7.3492,49.05,86,99,0.98,overcast clouds
514,Polunochnoye,RU,60.8697,60.4153,15.06,98,69,2.73,broken clouds
515,Boksitogorsk,RU,59.474,33.8485,45.23,93,93,7.18,overcast clouds
516,Mbanza-Ngungu,CD,-5.25,14.8667,71.46,79,91,0.27,overcast clouds
517,Abha,SA,18.2164,42.5053,62.42,34,0,6.91,clear sky
518,Remontnoye,RU,46.5614,43.6501,41.49,70,0,7.74,clear sky
519,Pokhara,NP,28.2333,83.9833,61.05,85,78,2.84,broken clouds
520,Ronneby,SE,56.21,15.276,45.1,100,100,5.75,overcast clouds
521,Luwingu,ZM,-10.2621,29.9271,77.49,34,92,4.03,overcast clouds
522,Nicoya,CR,10.1483,-85.452,76.55,84,99,2.55,overcast clouds
523,Rabo De Peixe,PT,37.8,-25.5833,73.27,92,75,16.11,broken clouds
524,Olinda,BR,-8.0089,-34.8553,80.33,65,40,11.5,scattered clouds
525,Calamar,CO,10.2511,-74.9146,84.15,85,100,5.41,overcast clouds
526,Buraydah,SA,26.326,43.975,77.45,29,0,14.09,clear sky
527,Inyonga,TZ,-6.7167,32.0667,74.66,41,34,2.89,scattered clouds
528,Muisne,EC,0.6,-80.0333,82.51,73,23,9.69,few clouds
529,Macae,BR,-22.3708,-41.7869,73.17,100,90,3.44,overcast clouds
530,Haverfordwest,GB,51.8017,-4.9691,55.17,77,9,13.11,clear sky
531,Finnsnes,NO,69.2296,17.9811,36.75,94,100,3.87,overcast clouds
532,Itaituba,BR,-4.2761,-55.9836,98.76,41,20,6.91,few clouds
533,Poltavka,RU,54.3663,71.7632,33.3,98,100,16.46,snow
534,Firminy,FR,45.3873,4.2907,61.3,63,90,8.05,overcast clouds
535,Ndola,ZM,-12.9587,28.6366,76.5,31,95,5.17,overcast clouds
536,Novoagansk,RU,61.9449,76.6625,12.9,96,89,8.32,overcast clouds
537,Caraballeda,VE,10.6112,-66.8522,83.37,82,96,10.36,overcast clouds
538,Marienburg,PL,54.0359,19.0266,54.88,49,60,15.99,broken clouds
539,The Valley,AI,18.217,-63.0578,89.46,65,40,12.66,scattered clouds
540,Youghal,IE,51.95,-7.8506,55.02,85,100,21.9,overcast clouds
541,Marquette,US,46.5333,-87.6335,55.78,76,9,5.14,clear sky
542,Penzance,GB,50.1186,-5.5371,51.01,77,100,21.81,overcast clouds
543,Necochea,AR,-38.5473,-58.7368,58.03,75,100,20.51,moderate rain
544,Lewisporte,CA,49.2499,-55.0482,56.91,58,1,3.69,clear sky
545,Malm,NO,64.0721,11.2172,50.79,91,46,6.64,scattered clouds
546,Shegaon,IN,20.7833,76.6833,67.3,62,95,2.21,overcast clouds
547,Teguise,ES,29.0605,-13.564,66.42,78,0,10.36,clear sky
548,Dera Bugti,PK,29.0307,69.151,73.33,15,0,6.33,clear sky
549,Humaita,BR,-7.5061,-63.0208,88.11,54,65,4.09,broken clouds
550,Natal,BR,-5.795,-35.2094,84.85,65,20,19.57,few clouds
551,Macedo De Cavaleiros,PT,41.5382,-6.9611,55.31,84,100,2.82,overcast clouds
552,Nova Ushytsya,UA,48.8372,27.2743,50.95,63,0,14.12,clear sky
553,Matara,LK,5.9485,80.5353,76.5,91,47,3.24,scattered clouds
554,Semey,KZ,50.4111,80.2275,37.0,57,84,7.85,broken clouds
555,Soloneshnoye,RU,51.6544,84.3197,32.43,76,93,4.56,overcast clouds
556,Mlowo,TZ,-9.0,32.9833,70.2,52,83,5.12,broken clouds
557,Mayumba,GA,-3.432,10.6554,77.5,90,95,7.72,light rain
558,Rorvik,NO,64.8621,11.2373,49.24,84,20,11.74,few clouds
559,Iracoubo,GF,5.4802,-53.2011,82.94,70,13,7.2,few clouds
560,Manaure,CO,11.7751,-72.4445,84.2,68,91,11.92,overcast clouds
561,Mitzic,GA,0.7821,11.549,70.88,94,100,1.57,moderate rain
562,Segou,ML,13.4317,-6.2157,86.59,43,47,5.91,scattered clouds
563,Arroyo,ES,41.6096,-4.7969,57.6,84,0,4.61,clear sky
564,Ibra,OM,22.6906,58.5334,76.33,29,1,5.53,clear sky
565,Bella Union,UY,-30.2752,-57.6007,91.35,35,26,4.97,scattered clouds
566,Clacton-On-Sea,GB,51.7897,1.156,52.12,87,58,15.9,broken clouds
567,Saint-Paul,RE,-21.0096,55.2707,71.69,93,53,1.01,broken clouds
568,Bocas Del Toro,PA,9.3333,-82.25,80.08,74,100,6.85,overcast clouds
569,Niquero,CU,20.0431,-77.5828,84.36,67,100,7.99,overcast clouds
570,Mazagao,BR,-0.115,-51.2894,89.65,56,36,5.41,scattered clouds
571,La Macarena,CO,2.1837,-73.7849,80.91,82,80,4.18,broken clouds
572,Somotillo,NI,13.0433,-86.9064,93.34,81,42,4.29,scattered clouds
573,Jaru,BR,-10.4389,-62.4664,81.16,70,90,4.92,heavy intensity rain
574,Shambu,ET,9.5667,37.1,49.95,51,39,4.52,scattered clouds
575,Odweyne,SO,9.4092,45.064,71.87,61,2,8.95,clear sky
576,Igarka,RU,67.4667,86.5833,9.16,97,96,7.2,overcast clouds
577,Maltahohe,NA,-24.8333,16.9833,66.65,24,0,9.4,clear sky
578,Liwale,TZ,-9.7667,37.9333,71.85,77,6,3.78,clear sky
579,Aqtobe,KZ,50.2797,57.2072,42.89,70,75,17.9,broken clouds
580,Caconda,AO,-13.7333,15.0667,66.18,75,100,4.5,light rain
581,Bereda,ES,43.2686,-7.5406,61.41,91,93,5.23,overcast clouds
582,Mahanoro,MG,-19.9,48.8,70.97,88,77,3.8,light rain
583,Derzhavinsk,KZ,51.1,66.3167,41.36,68,100,23.4,overcast clouds
584,Binga,ZW,-17.6203,27.3414,78.6,52,11,1.61,few clouds
585,Dukhovshchina,RU,55.1919,32.4111,45.37,82,16,9.42,few clouds
586,Mangrol,IN,21.1167,70.1167,76.41,44,65,7.02,broken clouds
587,Bumba,CD,2.1833,22.4667,71.38,86,95,3.11,overcast clouds
588,Gummidipundi,IN,13.4,80.15,80.6,85,100,7.61,overcast clouds
589,Varkaus,FI,62.3153,27.873,44.71,94,88,7.38,overcast clouds
590,Leh,IN,34.1667,77.5833,25.09,57,3,3.69,clear sky
591,Kambove,CD,-10.8764,26.5969,66.38,71,78,3.15,broken clouds
592,Uspenka,UA,48.3903,39.1619,43.93,67,0,4.25,clear sky
593,Gediz,TR,39.0417,29.41,51.49,61,14,3.53,few clouds
594,Vikulovo,RU,56.8167,70.6107,26.67,96,100,7.83,snow
595,Japura,ID,-0.3167,102.35,74.17,97,21,1.57,few clouds
596,Polican,AL,40.6122,20.0981,51.51,61,0,5.7,clear sky
597,Boguchar,RU,49.9358,40.545,43.14,74,2,3.33,clear sky
598,Tahta,EG,26.7693,31.5021,80.71,27,100,9.4,overcast clouds
599,Gouyave,GD,12.1646,-61.7296,84.97,66,20,14.97,few clouds
600,Bria,CF,6.5423,21.9863,71.35,85,100,1.45,overcast clouds
601,Ballina,AU,-28.8667,153.5667,66.16,91,90,21.85,overcast clouds
602,Cajamarca,PE,-7.1638,-78.5003,69.87,46,75,5.75,moderate rain
603,Flic En Flac,MU,-20.2742,57.3631,72.16,75,16,3.96,few clouds
604,Arlit,NE,18.7369,7.3853,86.77,17,62,17.49,broken clouds
605,Graaff-Reinet,ZA,-32.2522,24.5308,61.92,67,0,3.13,clear sky
606,Calvia,ES,39.5657,2.5062,70.27,84,100,17.45,overcast clouds
607,Bardiyah,LY,31.7561,25.0865,71.6,66,3,5.68,clear sky
608,Zychlin,PL,52.244,19.6261,55.15,61,0,8.61,clear sky
609,San Rafael,AR,-34.6177,-68.3301,75.27,25,6,23.73,clear sky
610,Clarence Town,AU,-32.5833,151.7833,60.98,91,91,1.43,overcast clouds
611,Placido De Castro,BR,-10.3353,-67.1856,102.15,22,43,3.89,scattered clouds
612,Dilla,ET,6.41,38.31,61.84,70,73,4.7,broken clouds
613,Barcelos,PT,41.5388,-8.6151,63.84,94,100,7.14,overcast clouds
614,Manga,BF,11.6636,-1.0731,87.93,25,16,3.8,few clouds
615,Santa Marta De Tormes,ES,40.9506,-5.6272,57.45,94,0,3.0,clear sky
616,Simoes,BR,-7.5989,-40.8178,92.26,24,8,7.61,clear sky
617,Taman,RU,45.2117,36.7161,46.72,70,0,22.32,clear sky
618,Koppang,NO,61.5706,11.0555,43.72,97,100,7.52,light rain
619,Harper,LR,4.375,-7.7169,78.12,85,100,5.55,overcast clouds
620,Cananeia,BR,-25.0147,-47.9267,69.96,93,84,8.3,broken clouds
621,Janakpur,NP,26.7183,85.9065,67.48,70,0,0.81,clear sky
622,Rognan,NO,67.0953,15.3878,48.34,88,100,5.14,overcast clouds
623,Miajadas,ES,39.1513,-5.9084,67.77,91,100,20.33,overcast clouds
624,Vangaindrano,MG,-23.35,47.6,70.3,82,100,3.58,overcast clouds
625,Buchanan,LR,5.8808,-10.0467,78.76,89,94,2.24,moderate rain
626,Damara,CF,4.9608,18.7035,83.62,93,97,1.86,overcast clouds
627,Springbok,ZA,-29.6643,17.8865,68.65,30,5,3.78,clear sky
628,Prado,BR,-17.3411,-39.2208,77.38,76,74,8.52,broken clouds
629,Altea,ES,38.5989,-0.0514,76.68,85,100,3.0,light rain
630,Le Passage,FR,44.2014,0.6028,63.55,88,90,3.44,overcast clouds
631,Mochalishche,RU,56.3306,48.3547,47.17,96,100,5.46,overcast clouds
632,Sistranda,NO,63.7256,8.834,50.9,83,100,22.28,overcast clouds
633,Esna,EG,25.2934,32.554,84.22,24,97,4.85,overcast clouds
634,Chinhoyi,ZW,-17.3667,30.2,78.28,35,50,2.39,scattered clouds
635,Ouesso,CG,1.6136,16.0517,74.71,82,52,1.05,broken clouds
636,Iranshahr,IR,27.2025,60.6848,73.74,25,0,0.0,clear sky
637,Paide,EE,58.8856,25.5572,42.89,93,96,5.44,overcast clouds
638,Varzea Da Palma,BR,-17.5981,-44.7308,87.51,39,81,6.44,broken clouds
639,Zavetnoye,RU,47.1194,43.8903,43.48,66,0,7.36,clear sky
640,Perigueux,FR,45.1833,0.7167,60.21,87,100,3.0,overcast clouds
641,Asyut,EG,27.181,31.1837,80.78,32,100,14.72,overcast clouds
642,Aquiraz,BR,-3.9014,-38.3911,82.49,74,70,10.4,broken clouds
643,Asosa,ET,10.0667,34.5333,60.98,82,67,5.21,broken clouds
644,Ibanda,TZ,-2.7974,32.4746,71.04,75,57,4.03,light rain
645,Santa Rita,BR,-7.1139,-34.9781,83.07,65,20,18.41,few clouds
646,Sayyan,YE,15.1718,44.3244,57.85,53,96,11.12,overcast clouds
647,Pujili,EC,-0.95,-78.6833,59.56,63,75,11.5,thunderstorm
648,Thinadhoo,MV,0.5333,72.9333,82.98,75,42,17.52,scattered clouds
649,Usagara,TZ,-2.6833,33.0,70.02,66,95,8.55,light rain
650,Arak,IR,34.0917,49.6892,54.95,55,66,5.48,broken clouds
651,Ilorin,NG,8.5,4.55,82.76,78,0,0.0,clear sky
652,Panaba,MX,21.2833,-88.2667,83.05,43,10,14.61,clear sky
653,Sheopur,IN,25.6667,76.7,66.78,47,2,4.27,clear sky
654,Dalbandin,PK,28.8947,64.4101,65.08,21,0,1.99,clear sky
655,Barmer,IN,25.75,71.3833,76.84,21,2,4.76,clear sky
656,Ust-Kulom,RU,61.6864,53.6902,31.86,99,100,0.85,overcast clouds
657,Ballinasloe,IE,53.3275,-8.2194,44.19,89,98,10.74,overcast clouds
658,Onguday,RU,50.75,86.15,35.62,76,100,1.72,overcast clouds
659,Marzuq,YE,14.4,46.4667,74.55,56,98,3.85,overcast clouds
660,Bastia,FR,42.6667,9.3333,65.3,85,90,5.75,overcast clouds
661,San Andres,CO,12.5847,-81.7006,84.22,89,40,9.22,scattered clouds
662,Venezuela,VE,8.0,-66.0,87.53,59,100,8.63,overcast clouds
663,Garowe,SO,8.4054,48.4845,73.31,79,6,13.65,clear sky
664,Bangangte,CM,5.1409,10.5198,62.78,94,93,3.31,light rain
665,Mangla,PK,31.8931,72.3817,72.12,26,0,3.53,clear sky
666,Trapani,IT,37.8333,12.6667,65.71,80,100,3.91,overcast clouds
667,Tatishchevo,RU,51.6703,45.5953,43.36,83,2,8.55,clear sky
668,Tanhacu,BR,-14.0214,-41.2481,85.35,42,28,6.22,scattered clouds
669,Nantucket,US,41.2835,-70.0995,62.74,90,100,21.92,overcast clouds
670,Chebsara,RU,59.2002,38.8356,45.73,97,76,5.77,broken clouds
671,Delta Del Tigre,UY,-34.7633,-56.3853,86.41,45,20,5.75,few clouds
672,Surgut,RU,61.25,73.4167,8.78,92,0,4.47,clear sky
673,Brzesko,PL,49.9691,20.6061,52.59,55,11,8.66,few clouds
674,Dharchula,IN,29.85,80.5333,53.28,36,0,7.4,clear sky
675,Saint-Augustin,CA,51.226,-58.6502,48.22,52,6,6.44,clear sky
676,Chicama,PE,-7.8447,-79.1469,63.14,62,25,10.58,scattered clouds
677,Turukhansk,RU,65.8167,87.9833,15.76,93,100,10.83,overcast clouds
678,Filingue,NE,14.3521,3.3168,91.8,12,3,5.57,clear sky
679,Pahalgam,IN,34.0333,75.3333,34.23,55,0,10.74,clear sky
680,Padampur,IN,29.6833,73.6167,73.45,25,0,0.78,clear sky
681,Bergen,NO,60.392,5.328,55.81,54,75,9.22,broken clouds
682,Montepuez,MZ,-13.1256,38.9997,75.31,62,51,9.17,broken clouds
683,High Rock,BS,26.6208,-78.2833,80.62,65,44,17.74,scattered clouds
684,Sao Felix Do Xingu,BR,-6.6447,-51.995,91.42,42,99,3.33,overcast clouds
685,Kasongo-Lunda,CD,-6.4667,16.8167,71.1,96,100,0.87,overcast clouds
686,Verkhnyaya Khava,RU,51.8404,39.9413,42.87,82,7,6.78,clear sky
687,Islamkot,PK,24.6997,70.177,78.15,24,57,3.58,broken clouds
688,Aktau,KZ,43.65,51.2,41.58,81,0,0.98,clear sky
689,Bestobe,KZ,52.4994,73.0975,36.93,89,100,21.56,light rain
690,Wels,AT,48.1667,14.0333,52.21,92,100,3.44,overcast clouds
691,Samarkand,UZ,39.6542,66.9597,45.82,71,100,0.0,overcast clouds
692,Ilhabela,BR,-23.7781,-45.3581,69.94,92,96,12.8,overcast clouds
693,Cururupu,BR,-1.8283,-44.8683,81.77,73,31,4.34,scattered clouds
694,Cordele,US,31.9635,-83.7824,64.11,63,90,10.36,overcast clouds
695,Ribeira Brava,PT,32.65,-17.0667,73.71,79,25,7.74,scattered clouds
696,Kikwit,CD,-5.041,18.8162,72.79,93,99,1.3,light rain
697,Hlatikulu,SZ,-26.9667,31.3167,55.17,80,100,1.45,overcast clouds
