City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
398,Alappuzha,IN,79.12,overcast clouds,9.49,76.3264,Panoramic Sea Resort
406,Dakoro,NE,88.03,clear sky,14.5106,6.765,Shagon mai liverpool
412,Praia Da Vitoria,PT,73.65,scattered clouds,38.7333,-27.0667,Hotel Branco I
415,Zambezi,ZM,74.8,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
419,Marsa Matruh,EG,70.0,scattered clouds,31.3525,27.2453,Beau Site
421,Betioky,MG,70.36,overcast clouds,-23.7167,44.3833,Bungalows Acacias Hotel
424,Sinnamary,GF,82.56,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
426,Pontes E Lacerda,BR,88.88,scattered clouds,-15.2261,-59.3353,Hotel Bressan
427,El Alto,PE,73.06,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
431,Cascavel,BR,71.94,light rain,-24.9558,-53.4553,Grand Prix Hotel
434,Douglas,US,70.14,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
440,Santa Rosa,PH,79.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
442,Kangaba,ML,79.59,overcast clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
447,Mehran,IR,78.28,overcast clouds,33.1222,46.1646,بوتیک زنانه بهار
448,Tibati,CM,70.61,light rain,6.4667,12.6333,Tibati Hotel
449,Mkuranga,TZ,77.99,scattered clouds,-7.118,39.2078,Luminoso Lodge
451,Mahon,ES,70.36,broken clouds,39.8885,4.2658,ARTIEM Capri
453,Omboue,GA,77.27,moderate rain,-1.5746,9.2618,Hotel Olako
455,Arica,CL,74.75,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
456,Jizan,SA,86.94,clear sky,17.3333,42.6667,شهدان. ابوالحجر
457,Eyl,SO,78.31,broken clouds,7.9803,49.8164,Amiin Hotel
458,Gat,IL,72.39,scattered clouds,31.61,34.7642,OlusHome
459,El Silencio,VE,73.35,overcast clouds,10.5,-66.9167,Hotel Alex
463,Cabinda,AO,77.81,broken clouds,-5.55,12.2,Hotel Maiombe
464,Marechal Candido Rondon,BR,76.77,overcast clouds,-24.5561,-54.0567,Hotel Bender
465,Punta Cardon,VE,81.75,overcast clouds,11.6581,-70.215,Bambuda hotel
468,Lodwar,KE,86.81,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
469,Concepcion Del Uruguay,AR,92.98,few clouds,-32.4825,-58.2372,Aires del Campo Cabañas y Hotel
470,Port-Gentil,GA,80.56,thunderstorm,-0.7193,8.7815,Fengshui Residence
473,General Roca,AR,70.63,overcast clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
475,Narasannapeta,IN,76.14,few clouds,18.4167,84.05,G.lingaraju home
481,Senador Guiomard,BR,92.95,few clouds,-10.1522,-67.7392,Paraíso Hotel
482,Macas,EC,80.35,light rain,-2.3167,-78.1167,Casa Upano
484,Sur,OM,81.37,clear sky,22.5667,59.5289,Sur Plaza Hotel
485,Port Blair,IN,80.37,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
487,Chalatenango,SV,81.95,overcast clouds,14.0333,-88.9333,Villa Alberto
489,Bandarbeyla,SO,79.09,light rain,9.4942,50.8122,JABIR HOTEL
490,Mahbubabad,IN,73.31,broken clouds,17.6167,80.0167,Vedansh Residency
491,Santiago,CL,90.84,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
492,Ubauro,PK,74.98,clear sky,28.1652,69.7289,Abdul Hameed shaikh
496,Nsanje,MW,75.38,clear sky,-16.92,35.262,Nsanje Discovery Lodge
497,Axim,GH,78.8,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
499,Ugoofaaru,MV,81.07,few clouds,5.6667,73.0,Ungoofaaru Inn
503,Siyabuswa,ZA,74.26,clear sky,-25.1132,29.0445,Uluju properties
506,Espanola,US,79.07,clear sky,35.9911,-106.0806,Santa Claran Hotel Casino
508,Waddan,LY,71.83,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
510,Labrea,BR,83.35,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
511,Praia,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
512,Luanda,AO,77.0,scattered clouds,-8.8368,13.2343,Hotel Fórum
516,Mbanza-Ngungu,CD,71.46,overcast clouds,-5.25,14.8667,Hotel Full Business
521,Luwingu,ZM,77.49,overcast clouds,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
522,Nicoya,CR,76.55,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
523,Rabo De Peixe,PT,73.27,broken clouds,37.8,-25.5833,Quinta das Giestas
524,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
525,Calamar,CO,84.15,overcast clouds,10.2511,-74.9146,Hostal Katyalex
526,Buraydah,SA,77.45,clear sky,26.326,43.975,فندق راحة السلام
527,Inyonga,TZ,74.66,scattered clouds,-6.7167,32.0667,Eden Rock Lodge
528,Muisne,EC,82.51,few clouds,0.6,-80.0333,Quinta Samay
529,Macae,BR,73.17,overcast clouds,-22.3708,-41.7869,Personal Hotel
535,Ndola,ZM,76.5,overcast clouds,-12.9587,28.6366,Chabanga Lodge iSpot
537,Caraballeda,VE,83.37,overcast clouds,10.6112,-66.8522,Hotel 15 Letras
539,The Valley,AI,89.46,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
548,Dera Bugti,PK,73.33,clear sky,29.0307,69.151,Nawab Bugti House
549,Humaita,BR,88.11,broken clouds,-7.5061,-63.0208,Corrêa Hotel
550,Natal,BR,84.85,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
553,Matara,LK,76.5,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
556,Mlowo,TZ,70.2,broken clouds,-9.0,32.9833,Mchacho Drinks & Guest house
